3259;3286;2501;3276;3281;3281;3269;3269;2599;2498;
3235;3184;2321;3235;3235;3167;3133;3099;2468;2714;
3218;3218;2330;3218;3218;3150;3150;3116;2315;2315;
3150;3150;2341;3150;3150;3150;3150;3116;2326;2300;
3201;3201;2341;3201;3201;3201;3201;3167;2315;2326;
3150;3150;2327;3150;3150;3150;3150;3116;2326;2300;
3201;3201;2330;3150;3150;3201;3150;3116;2315;2312;
3201;3201;2341;3150;3150;3201;3150;3116;2326;2315;
3150;3150;2341;3150;3150;3150;3150;3116;2300;2300;
3201;3201;2327;3201;3201;3201;3201;3167;2312;2326;
3218;3218;2330;3150;3218;3218;3218;3116;2315;2315;
3150;3150;2341;3150;3150;3150;3150;3116;2300;2300;
3201;3150;2341;3150;3201;3201;3201;3116;2326;2315;
3150;3150;2327;3150;3150;3150;3150;3116;2315;2303;
3201;3150;2330;3150;3150;3150;3150;3116;2326;2326;
3201;3201;2341;3150;3150;3150;3150;3116;2315;2315;
3133;3133;2341;3133;3133;3133;3133;3099;2300;2300;
3133;3133;2327;3133;3133;3201;3133;3082;2315;2315;
3133;3201;2330;3201;3201;3201;3201;3167;2315;2315;
3133;3133;2341;3133;3133;3133;3133;3099;2300;2300;
3201;3201;2341;3133;3133;3201;3133;3099;2315;2315;
3133;3133;2327;3133;3133;3133;3133;3082;2300;2300;
3201;3201;2330;3201;3201;3201;3201;3167;2315;2315;
3184;3184;2341;3133;3133;3184;3133;3082;2315;2315;
3133;3133;2341;3133;3133;3133;3133;3099;2300;2300;
3184;3184;2327;3201;3201;3184;3201;3167;2315;2315;
3184;3184;2330;3167;3133;3184;3133;3167;2326;2326;
3133;3133;2341;3133;3133;3133;3133;3082;2300;2300;
3133;3184;2341;3201;3133;3184;3133;3099;2315;2315;
3133;3133;2327;3133;3133;3133;3133;3099;2300;2300;
3133;3184;2330;3201;3150;3184;3150;3116;2315;2315;
3184;3184;2341;3201;3201;3184;3201;3167;2326;2326;
3133;3133;2341;3133;3133;3133;3133;3082;2300;2300;
3133;3133;2327;3133;3133;3133;3133;3099;2356;2315;
3133;3133;2330;3133;3133;3133;3133;3099;2303;2315;
3133;3133;2341;3133;3133;3133;3133;3082;2300;2303;
3184;3184;2341;3201;3201;3184;3201;3167;2315;2326;
3133;3133;2327;3133;3133;3133;3133;3099;2303;2315;
3184;3184;2330;3201;3201;3184;3201;3167;2326;2326;
3184;3184;2341;3184;3184;3184;3184;3150;2315;2315;
3133;3133;2341;3133;3133;3133;3133;3082;2300;2300;
3184;3184;2327;3201;3201;3184;3201;3167;2315;2315;
3184;3184;2330;3184;3184;3184;3184;3150;2315;2315;
